titulo;ano;classificacao;duracao;sinopse;direcao;roteiristas;artistas;nota
The Apartment;1960;Approved;2h 5m;A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.;Billy Wilder;Billy Wilder, I.A.L. Diamond;Jack Lemmon, Shirley MacLaine, Fred MacMurray;8.3
Amélie;2001;R;2h 2m;Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love.;Jean-Pierre Jeunet;Guillaume Laurant, Jean-Pierre Jeunet;Audrey Tautou, Mathieu Kassovitz, Rufus;8.3
Lawrence of Arabia;1962;Approved;3h 38m;The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.;David Lean;Robert Bolt, Michael Wilson;Peter O'Toole, Alec Guinness, Anthony Quinn;8.3
Citizen Kane;1941;PG;1h 59m;Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.';Orson Welles;Herman J. Mankiewicz, Orson Welles, John Houseman;Orson Welles, Joseph Cotten, Dorothy Comingore;8.3
Reservoir Dogs;1992;R;1h 39m;When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.;Quentin Tarantino;Quentin Tarantino, Roger Avary;Harvey Keitel, Tim Roth, Michael Madsen;8.3
The Hunt;2012;R;1h 55m;A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.;Thomas Vinterberg;Thomas Vinterberg, Tobias Lindholm;Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp;8.3
Eternal Sunshine of the Spotless Mind;2004;R;1h 48m;When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.;Michel Gondry;Charlie Kaufman, Michel Gondry, Pierre Bismuth;Jim Carrey, Kate Winslet, Tom Wilkinson;8.3
M;1931;Passed;1h 39m;When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.;Fritz Lang;Thea von Harbou, Fritz Lang, Egon Jacobsohn;Peter Lorre, Ellen Widmann, Inge Landgut;8.3
2001 A Space Odyssey;1968;G;2h 29m;After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000.;Stanley Kubrick;Stanley Kubrick, Arthur C. Clarke;Keir Dullea, Gary Lockwood, William Sylvester;8.3
Come and See;1985;Not Rated;2h 22m;After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.;Elem Klimov;Ales Adamovich, Elem Klimov;Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius;8.4
Toy Story 3;2010;G;1h 43m;The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.;Lee Unkrich;John Lasseter, Andrew Stanton, Lee Unkrich;Tom Hanks, Tim Allen, Joan Cusack;8.3
High and Low;1963;Not Rated;2h 23m;An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.;Akira Kurosawa;Hideo Oguni, Ryûzô Kikushima, Eijirô Hisaita;Toshirô Mifune, Yutaka Sada, Tatsuya Nakadai;8.4
Singin' in the Rain;1952;G;1h 43m;A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.;Stanley Donen, Gene Kelly;Betty Comden, Adolph Green;Gene Kelly, Donald O'Connor, Debbie Reynolds;8.3
Capernaum;2018;R;2h 6m;While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.;Nadine Labaki;Nadine Labaki, Jihad Hojeily, Michelle Keserwany;Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole;8.4
Star Wars Episode VI - Return of the Jedi;1983;PG;2h 11m;After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.;Richard Marquand;Lawrence Kasdan, George Lucas;Mark Hamill, Harrison Ford, Carrie Fisher;8.3
Requiem for a Dream;2000;Unrated;1h 42m;The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.;Darren Aronofsky;Hubert Selby Jr., Darren Aronofsky;Ellen Burstyn, Jared Leto, Jennifer Connelly;8.3
3 Idiots;2009;PG-13;2h 50m;"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".";Rajkumar Hirani;Abhijat Joshi, Rajkumar Hirani, Vidhu Vinod Chopra;Aamir Khan, Madhavan, Mona Singh;8.4
Your Name.;2016;TV-PG;1h 46m;Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.;Makoto Shinkai;Makoto Shinkai, Clark Cheng;Ryunosuke Kamiki, Mone Kamishiraishi, Ryo Narita;8.4
Once Upon a Time in America;1984;R;3h 49m;A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.;Sergio Leone;Harry Grey, Leonardo Benvenuti, Piero De Bernardi;Robert De Niro, James Woods, Elizabeth McGovern;8.3
